,,,C3,C4,Total,C3,C4,Total,C3,C4,Total,C3,C4,Total,C3,C4,Total,C3,C4,Total,C3,C4,Total,C3,C4,Total,C3,C4,Total,C3,C4,Total,C3,C4,Total
Warmed,Water,Plot,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2020,2020,2020,2021,2021,2021
C,C,3,251.76,39.14,290.90,228.44,36.24,264.68,97.02,118.09,215.11,235.13,43.65,278.78,86.32,132.88,219.20,25.57,266.53,292.09,72.63,273.81,346.44,122.24,348.34,470.58,38.74,171.09,209.83,112.11,107.06,219.18,166.45,222.29,388.74
C,C,6,415.71,77.35,493.06,420.96,43.59,464.55,177.21,77.59,254.80,386.58,0.00,386.58,238.76,197.10,435.86,0.00,187.32,187.32,783.75,202.46,986.21,111.53,252.57,364.09,0.00,120.34,120.34,17.10,52.48,69.58,91.05,227.52,318.57
C,C,19,429.18,105.42,534.60,444.59,65.00,509.59,202.03,47.20,249.23,196.58,0.00,196.58,517.54,13.26,530.80,0.00,115.15,115.15,0.00,529.68,529.68,0.95,18.19,19.14,0.00,66.22,66.22,6.56,133.97,140.53,23.74,450.34,474.08
C,C,23,504.84,12.96,517.80,698.75,0.00,698.75,152.97,87.45,240.42,358.14,158.33,516.47,292.91,58.34,351.25,0.00,217.70,217.70,0.00,357.06,357.06,26.99,78.53,105.53,0.00,57.99,57.99,35.52,64.23,99.75,96.84,358.83,455.67
C,D,9,276.84,318.29,595.13,459.71,126.29,586.00,249.84,73.46,323.30,400.15,2.61,402.76,203.39,1.40,204.79,11.41,152.43,163.83,0.00,408.71,408.71,4.33,271.57,275.90,0.00,63.59,63.59,0.00,140.41,140.41,29.59,219.13,248.72
C,D,12,258.92,83.73,342.65,288.15,37.15,325.30,135.76,99.25,235.01,398.15,10.43,408.58,260.89,0.00,260.89,32.20,110.83,143.02,0.00,312.56,312.56,24.59,240.54,265.14,69.37,48.00,117.37,257.26,50.77,308.02,301.76,18.89,320.65
C,D,14,182.19,91.59,273.78,259.88,224.45,484.33,191.95,151.16,343.11,0.00,442.87,442.87,29.32,649.96,679.28,0.00,144.50,144.50,0.91,551.26,552.17,1.93,890.07,892.00,36.78,93.05,129.83,5.42,97.01,102.42,221.49,149.43,370.92
C,D,17,35.77,84.23,120.00,181.72,155.42,337.14,226.87,71.52,298.39,205.93,102.29,308.22,219.11,291.47,510.58,30.07,308.54,338.60,0.29,718.79,719.08,141.64,303.01,444.65,198.17,139.34,337.51,96.50,101.76,198.26,158.79,95.65,254.44
C,H,8,266.21,25.45,291.66,409.12,59.39,468.51,177.54,54.07,231.61,0.00,82.90,82.90,126.64,152.58,279.22,15.73,352.70,368.42,53.56,221.23,274.79,97.02,47.57,144.59,54.58,158.35,212.94,104.55,33.99,138.54,242.40,184.51,426.90
C,H,11,285.74,318.29,604.03,385.42,0.00,385.42,162.81,48.72,211.53,441.88,34.40,476.28,226.05,0.00,226.05,39.62,55.75,95.36,98.78,118.73,217.51,97.81,321.33,419.14,122.33,192.73,315.06,111.09,84.75,195.84,310.28,156.42,466.70
C,H,13,109.20,125.45,234.65,206.23,189.05,395.28,181.17,52.59,233.76,305.52,0.00,305.52,522.26,22.53,544.79,34.60,21.38,55.97,24.64,477.14,501.78,9.94,212.93,222.87,64.94,84.27,149.21,0.00,165.01,165.01,36.91,282.78,319.69
C,H,24,226.03,28.81,254.84,274.94,23.63,298.57,154.42,76.87,231.29,306.06,60.15,366.21,116.70,282.04,398.74,0.83,197.60,198.42,8.66,430.34,439.00,40.11,24.76,64.87,42.35,121.05,163.41,0.00,40.16,40.16,50.30,154.30,204.60
W,C,1,342.79,154.37,497.16,312.43,258.08,570.51,111.56,290.19,401.75,299.49,0.00,299.49,150.16,20.42,170.58,4.06,7.94,11.99,147.27,48.25,195.52,59.18,192.94,252.12,128.53,231.93,360.46,37.67,231.86,269.53,132.72,357.36,490.08
W,C,10,347.32,77.84,425.16,400.90,0.00,400.90,238.41,0.00,238.41,246.47,0.00,246.47,199.37,0.00,199.37,43.07,26.56,69.62,208.82,0.00,208.82,182.32,81.40,263.73,105.65,129.71,235.36,219.34,172.07,391.41,82.35,214.18,296.52
W,C,16,290.40,118.58,408.98,306.00,102.43,408.43,82.64,91.89,174.53,148.78,66.19,214.97,45.97,423.31,469.28,17.61,46.02,63.62,0.00,505.08,505.08,5.60,321.34,326.94,41.23,127.68,168.91,0.00,108.07,108.07,84.59,369.46,454.05
W,C,20,223.06,67.57,290.63,417.31,213.80,631.11,198.80,182.24,381.04,263.84,97.70,361.54,274.58,193.23,467.81,0.00,208.85,208.85,72.98,398.09,471.07,14.88,291.84,306.72,42.99,106.58,149.58,193.53,171.43,364.96,188.87,297.48,486.35
W,D,4,396.44,192.38,588.82,375.18,206.19,581.37,125.40,118.67,244.07,311.68,0.00,311.68,189.53,20.43,209.96,43.21,111.40,154.60,122.88,156.56,279.44,45.34,237.65,282.99,88.16,104.00,192.16,328.71,84.94,413.65,193.02,273.58,466.61
W,D,7,376.98,61.31,438.29,355.82,0.00,355.82,211.20,52.59,263.79,299.68,0.00,299.68,176.67,100.66,277.33,4.74,175.25,179.98,0.00,637.44,637.44,38.93,392.29,431.22,0.00,119.27,119.27,0.00,191.75,191.75,39.88,553.12,593.00
W,D,21,339.82,173.91,513.73,382.26,343.16,725.42,89.12,422.50,511.62,182.67,188.28,370.95,58.28,718.83,777.11,0.00,433.60,433.60,14.70,487.77,502.47,10.65,508.79,519.44,0.00,68.64,68.64,12.48,256.43,268.91,135.90,256.87,392.77
W,D,22,213.52,151.79,365.31,284.66,213.75,498.41,242.00,234.58,476.58,302.71,268.52,571.23,389.44,41.72,431.16,33.37,200.84,234.20,25.77,657.07,682.84,127.58,26.05,153.63,116.23,116.94,233.17,150.63,91.41,242.03,201.41,102.78,304.19
W,H,2,360.90,16.58,377.48,366.75,2.37,369.12,81.31,51.88,133.19,94.64,118.89,213.53,189.98,103.75,293.73,3.38,205.43,208.80,123.01,56.89,179.90,115.76,12.36,128.13,94.61,111.84,206.45,272.41,21.28,293.69,501.65,97.93,599.59
W,H,5,191.00,5.09,196.09,364.49,41.73,406.22,82.48,109.29,191.77,159.77,52.32,212.09,209.75,89.11,298.86,1.35,78.20,79.54,310.74,0.00,310.74,152.86,242.27,395.13,110.33,156.16,266.49,0.00,150.13,150.13,430.69,472.07,902.76
W,H,15,112.07,15.44,127.51,400.23,11.69,411.92,108.55,59.31,167.86,187.81,23.47,211.28,238.99,195.25,434.24,0.00,88.67,88.67,49.78,736.38,786.16,39.02,373.37,412.38,0.00,160.91,160.91,40.57,199.63,240.21,72.68,263.64,336.32
W,H,18,146.27,130.98,277.25,345.99,116.30,462.29,195.02,48.11,243.13,243.77,66.74,310.51,222.96,197.88,420.84,1.13,104.78,105.90,152.48,326.66,479.14,13.20,229.88,243.08,77.17,124.39,201.55,111.31,14.33,125.65,160.92,24.84,185.76